# y   z   Energy(Ry)
0.000000   0.000000   
0.000000   0.111111   -433.27332712
0.000000   0.222222   -447.15928853
0.000000   0.333333   -449.08974616
0.000000   0.444444   -449.55044693
0.000000   0.555555   -449.55044868
0.000000   0.666666   -449.08975362
0.000000   0.777777   -447.15932503
0.000000   0.888888   -433.27364217
0.000000   0.999999   
0.111111   0.000000   -433.27332710
0.111111   0.111111   -442.59633786
0.111111   0.222222   -447.95322414
0.111111   0.333333   -449.22352547
0.111111   0.444444   -449.58567694
0.111111   0.555555   -449.58567835
0.111111   0.666666   -449.22353113
0.111111   0.777777   -447.95324536
0.111111   0.888888   -442.59642462
0.111111   0.999999   -433.27332725
0.222222   0.000000   -447.15928849
0.222222   0.111111   -447.95322413
0.222222   0.222222   -448.95801677
0.222222   0.333333   -449.46037742
0.222222   0.444444   -449.65408295
0.222222   0.555555   -449.65408374
0.222222   0.666666   -449.46038028
0.222222   0.777777   -448.95802311
0.222222   0.888888   -447.95323496
0.222222   0.999999   -447.15928849
0.333333   0.000000   -449.08974614
0.333333   0.111111   -449.22352547
0.333333   0.222222   -449.46037742
0.333333   0.333333   -449.62906598
0.333333   0.444444   -449.70020887
0.333333   0.555555   -449.70020915
0.333333   0.666666   -449.62906689
0.333333   0.777777   -449.46037939
0.333333   0.888888   -449.22352752
0.333333   0.999999   -449.08974607
0.444444   0.000000   -449.55044694
0.444444   0.111111   -449.58567695
0.444444   0.222222   -449.65408296
0.444444   0.333333   -449.70020888
0.444444   0.444444   -449.71211374
0.444444   0.555555   -449.71211371
0.444444   0.666666   -449.70020911
0.444444   0.777777   -449.65408355
0.444444   0.888888   -449.58567752
0.444444   0.999999   -449.55044691
0.555555   0.000000   -449.55044869
0.555555   0.111111   -449.58567837
0.555555   0.222222   -449.65408375
0.555555   0.333333   -449.70020916
0.555555   0.444444   -449.71211380
0.555555   0.555555   -449.71211378
0.555555   0.666666   -449.70020940
0.555555   0.777777   -449.65408433
0.555555   0.888888   -449.58567893
0.555555   0.999999   -449.55044872
0.666666   0.000000   -449.08975361
0.666666   0.111111   -449.22353112
0.666666   0.222222   -449.46038029
0.666666   0.333333   -449.62906718
0.666666   0.444444   -449.70020911
0.666666   0.555555   -449.70020939
0.666666   0.666666   -449.62906809
0.666666   0.777777   -449.46038224
0.666666   0.888888   -449.22353318
0.666666   0.999999   -449.08975368
0.777777   0.000000   -447.15932501
0.777777   0.111111   -447.95324535
0.777777   0.222222   -448.95802357
0.777777   0.333333   -449.46037938
0.777777   0.444444   -449.65408352
0.777777   0.555555   -449.65408431
0.777777   0.666666   -449.46038224
0.777777   0.777777   -448.95802992
0.777777   0.888888   -447.95325618
0.777777   0.999999   -447.15932501
0.888888   0.000000   -433.27364215
0.888888   0.111111   -442.59642482
0.888888   0.222222   -447.95323496
0.888888   0.333333   -449.22352752
0.888888   0.444444   -449.58567750
0.888888   0.555555   -449.58567891
0.888888   0.666666   -449.22353319
0.888888   0.777777   -447.95325618
0.888888   0.888888   -442.59651158
0.888888   0.999999   -433.27364201
0.999999   0.000000   
0.999999   0.111111   -433.27332727
0.999999   0.222222   -447.15928854
0.999999   0.333333   -449.08974603
0.999999   0.444444   -449.55044689
0.999999   0.555555   -449.55044873
0.999999   0.666666   -449.08975375
0.999999   0.777777   -447.15932501
0.999999   0.888888   -433.27364201
0.999999   0.999999   
