# equation of state: birch 1st order.  chisq =   0.9309D-06
# V0 =  173.30 a.u.^3,  k0 = 1657 kbar,  dk0 =  8.59  d2k0 =  0.000  emin = -448.58577
# V0 =   25.68  Ang^3,  k0 = 165.8 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  189.27    -448.57934    -448.57955     0.00021      -9.85     -448.70601
  183.46    -448.58386    -448.58298    -0.00088      -7.34     -448.67543
  175.21    -448.58285    -448.58565     0.00280      -1.73     -448.60351
  174.12    -448.58687    -448.58575    -0.00112      -0.76     -448.59589
  170.25    -448.58628    -448.58545    -0.00084       3.17     -448.54956
  166.83    -448.58471    -448.58423    -0.00048       7.42     -448.50059
  163.67    -448.58236    -448.58215    -0.00021      12.05     -448.44826
  160.79    -448.57918    -448.57932     0.00014      16.98     -448.39356
  158.12    -448.57548    -448.57577     0.00029      22.23     -448.33653
  155.62    -448.57126    -448.57154     0.00028      27.79     -448.27723
  153.31    -448.56664    -448.56673     0.00009      33.58     -448.21666
  151.17    -448.56169    -448.56141    -0.00028      39.55     -448.15522
