# i   Volume(a.u.^3)   Energy(Ry)   Pressure(kbar)
0    189.2713         -448.57933725    -137.58        
1    183.4563         -448.58385659    -92.32         
2    175.21456        -448.58284998    -41.48         
3    174.1176         -448.58687037    -1.54          
4    170.2543         -448.58628419    43.89          
5    166.8258         -448.58470812    88.90          
6    163.6687         -448.58235943    134.72         
7    160.7875         -448.57918122    179.52         
8    158.1151         -448.57548198    224.77         
9    155.6203         -448.57125915    270.23         
10   153.3107         -448.56663700    315.49         
11   151.1686         -448.56168946    360.89         
