# equation of state: birch 1st order.  chisq =   0.2965D-11
# V0 =  173.99 a.u.^3,  k0 = 1926 kbar,  dk0 =  4.21  d2k0 =  0.000  emin = -448.58683
# V0 =   25.78  Ang^3,  k0 = 192.6 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  189.29    -448.57922    -448.57922     0.00000     -13.60     -448.75421
  183.40    -448.58379    -448.58379    -0.00000      -9.09     -448.69706
  178.36    -448.58614    -448.58614    -0.00000      -4.54     -448.64116
  174.00    -448.58683    -448.58683     0.00000      -0.01     -448.58695
  170.13    -448.58625    -448.58625     0.00000       4.52     -448.53395
  166.67    -448.58466    -448.58466     0.00000       9.06     -448.48206
  163.53    -448.58225    -448.58225    -0.00000      13.61     -448.43095
  160.68    -448.57918    -448.57918    -0.00000      18.13     -448.38117
  158.07    -448.57557    -448.57556    -0.00000      22.64     -448.33232
  155.65    -448.57148    -448.57148     0.00000      27.15     -448.28424
  153.36    -448.56690    -448.56690     0.00000      31.73     -448.23608
  151.24    -448.56200    -448.56200     0.00000      36.30     -448.18882
