# i   Volume(a.u.^3)   Energy(Ry)   Pressure(kbar)
0    189.2883         -448.57922236    -137.62        
1    183.4017         -448.58379288    -92.33         
2    178.3599         -448.58614454    -46.73         
3    173.9969         -448.58683051    -1.56          
4    170.1350         -448.58624880    43.62          
5    166.6746         -448.58466263    88.86          
6    163.5289         -448.58224901    134.37         
7    160.6809         -448.57918384    179.52         
8    158.0664         -448.57556621    224.68         
9    155.6474         -448.57147583    269.81         
10   153.3611         -448.56690380    315.48         
11   151.2364         -448.56199542    360.90         
