# Volume(a.u.^3)   Energy(Ry)
151.1242        -448.56157991  
152.7383        -448.56537935  
154.3640        -448.56883301  
156.0011        -448.57195364  
157.6497        -448.57475249  
159.3100        -448.57723760  
164.3605        -448.58289931  
166.0674        -448.58421429  
167.7861        -448.58525627  
169.5167        -448.58603262  
171.2590        -448.58655249  
173.0133        -448.58682367  
178.3480        -448.58298563  
180.1502        -448.58336213  
181.9646        -448.58339598  
183.7912        -448.58364610  
185.6299        -448.58237834  
187.4808        -448.58091732  
189.3440        -448.57927001  
191.2195        -448.57744410  
193.1073        -448.57544417  
