# equation of state: birch 1st order.  chisq =   0.4858D-06
# V0 =  173.20 a.u.^3,  k0 = 1777 kbar,  dk0 =  7.45  d2k0 =  0.000  emin = -448.58605
# V0 =   25.67  Ang^3,  k0 = 177.7 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  151.12    -448.56158    -448.56122    -0.00036      39.69     -448.15380
  152.74    -448.56538    -448.56533    -0.00005      35.25     -448.19933
  154.36    -448.56883    -448.56899     0.00016      31.10     -448.24251
  156.00    -448.57195    -448.57223     0.00028      27.21     -448.28341
  157.65    -448.57475    -448.57508     0.00032      23.57     -448.32212
  159.31    -448.57724    -448.57754     0.00031      20.18     -448.35873
  164.36    -448.58290    -448.58289    -0.00001      11.30     -448.45668
  166.07    -448.58421    -448.58405    -0.00017       8.73     -448.48561
  167.79    -448.58526    -448.58493    -0.00033       6.35     -448.51280
  169.52    -448.58603    -448.58554    -0.00049       4.14     -448.53830
  171.26    -448.58655    -448.58591    -0.00064       2.09     -448.56218
  173.01    -448.58682    -448.58604    -0.00078       0.20     -448.58451
  178.35    -448.58299    -448.58520     0.00221      -4.66     -448.63949
  180.15    -448.58336    -448.58454     0.00118      -6.03     -448.65717
  181.96    -448.58340    -448.58372     0.00032      -7.28     -448.67345
  183.79    -448.58365    -448.58274    -0.00090      -8.43     -448.68891
  185.63    -448.58238    -448.58162    -0.00076      -9.47     -448.70186
  187.48    -448.58092    -448.58037    -0.00055     -10.42     -448.71367
  189.34    -448.57927    -448.57900    -0.00027     -11.27     -448.72438
  191.22    -448.57744    -448.57751     0.00006     -12.05     -448.73403
  193.11    -448.57544    -448.57592     0.00047     -12.74     -448.74267
