# equation of state: birch 1st order.  chisq =   0.5562D-11
# V0 =  173.99 a.u.^3,  k0 = 1926 kbar,  dk0 =  4.20  d2k0 =  0.000  emin = -448.58683
# V0 =   25.78  Ang^3,  k0 = 192.7 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  151.12    -448.56172    -448.56172     0.00000      36.54     -448.18637
  152.74    -448.56553    -448.56553     0.00000      33.03     -448.22257
  154.36    -448.56900    -448.56900     0.00000      29.68     -448.25760
  156.00    -448.57212    -448.57212    -0.00000      26.46     -448.29149
  157.65    -448.57491    -448.57491    -0.00000      23.39     -448.32426
  159.31    -448.57739    -448.57738    -0.00000      20.45     -448.35595
  160.98    -448.57955    -448.57955    -0.00000      17.63     -448.38658
  162.67    -448.58141    -448.58141    -0.00000      14.94     -448.41620
  164.36    -448.58298    -448.58298    -0.00000      12.37     -448.44481
  166.07    -448.58427    -448.58427     0.00000       9.90     -448.47246
  167.79    -448.58529    -448.58529     0.00000       7.55     -448.49917
  169.52    -448.58604    -448.58605     0.00000       5.30     -448.52496
  171.26    -448.58654    -448.58654     0.00000       3.15     -448.54986
  173.01    -448.58679    -448.58680     0.00000       1.10     -448.57390
  174.78    -448.58681    -448.58681     0.00000      -0.87     -448.59709
  176.56    -448.58659    -448.58659     0.00000      -2.74     -448.61946
  178.35    -448.58615    -448.58615    -0.00000      -4.53     -448.64103
  180.15    -448.58549    -448.58549    -0.00000      -6.23     -448.66182
  181.96    -448.58462    -448.58462    -0.00000      -7.86     -448.68186
  183.79    -448.58355    -448.58354    -0.00000      -9.41     -448.70117
  185.63    -448.58228    -448.58227    -0.00000     -10.89     -448.71975
  187.48    -448.58082    -448.58081    -0.00000     -12.30     -448.73764
  189.34    -448.57917    -448.57917    -0.00000     -13.65     -448.75485
  191.22    -448.57735    -448.57735     0.00000     -14.93     -448.77140
  193.11    -448.57535    -448.57535     0.00000     -16.15     -448.78730
